ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC12590690	330.42	C18H19FN2OS	c1cc2c(c(c1)F)N(CCC2)CC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.15	0.06
ZINC12604496	331.37	C19H17N5O	Cc1nc2cc(ccc2n1c3ccccc3)C(=O)Nc4ccn(n4)C	HIS path	0.90	0.09
ZINC12618949	290.31	C15H18N2O4	CCO[C@@H]1C(=C(C(=O)NC(=O)N1)C)c2ccc(cc2)OC	E3 ligase	0.86	0.15
ZINC12627228	328.37	C20H16N4O	Cc1nc2cc(ccc2n1c3ccccc3)C(=O)Nc4ccncc4	HIS path	0.87	0.11
ZINC12704026	297.39	C19H23NO2	Cc1ccccc1CC[C@H]2CCCN(C2)C(=O)c3ccoc3	GLN path	2.00	0.65
ZINC12726078	220.25	C11H14N3O2	CCN(CC)N=Nc1ccc(cc1)C(=O)[O-]	CYS path	1.02	0.01
ZINC12749721	312.38	C19H21FN2O	C[C@H](c1ccccc1)N2CCN(CC2)C(=O)c3ccccc3F	ABC transporters	1.01	0.20
ZINC12771242	332.42	C17H20N2O3S	CN(C(=O)c1cc(c(s1)N2CCOCC2)c3ccccc3)OC	PI3K	1.22	0.14
ZINC12787622	290.40	C14H14N2OS2	c1ccnc(c1)SCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.00	0.03
ZINC12808196	326.78	C18H15ClN2O2	CN(Cc1ccccc1Cl)C(=O)c2cc(=O)[nH]c3c2cccc3	CD36	1.03	0.01
ZINC12902715	314.36	C16H14N2O3S	Cc1ccc(s1)/C=C/2\c3c(c(c([nH]3)C(=O)C)C)C(=O)NC2=O	E3 ligase	0.85	0.23
ZINC12911732	302.37	C16H22N4O2	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N3CCOCC3)C	Calcineurin1	1.01	0.07
ZINC12919118	287.38	C16H17NO2S	c1ccc(c(c1)CCC(=O)N2CCc3c(ccs3)C2)O	FASII-PDIM metabolism	1.22	0.03
ZINC12919598	330.47	C19H30N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N(C)[C@H](C)C(C)(C)C)C	Calcineurin1	0.97	0.01
ZINC12933380	192.65	C10H9ClN2	Cc1cc(nc2c1ccc(n2)Cl)C	AKT1	1.03	0.05
ZINC12940181	259.31	C17H13N3	c1ccc(cc1)c2c3c(ccn2)c4cc(ccc4[nH]3)N	AKT1	1.30	0.14
ZINC12972099	331.43	C18H21NO3S	COc1cc(cc(c1)OC)CCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.13	0.12
ZINC12972807	299.37	C17H21N3O2	c1ccc2c(c1)nc(o2)N3CCC(CC3)C(=O)NCC4CC4	ATPase	0.94	0.06
ZINC12993734	325.40	C19H23N3O2	C[C@@H](c1ccccc1)N(C)C(=O)c2ccc(nc2)N3CCOCC3	GLN path	0.92	0.10
ZINC13004621	302.41	C17H26N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)NCCC(C)C)C	Calcineurin1	1.04	0.06
ZINC13005325	340.37	C19H20N2O4	CCOc1ccccc1NC(=O)COc2ccc3c(c2)CCC(=O)N3	CD36	1.06	0.02
ZINC13022844	342.46	C18H22N4OS	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N(C)Cc3ccsc3)C	Calcineurin1	1.13	0.13
ZINC13023074	296.32	C17H16N2O3	COc1cccc(c1)NC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.11	0.07
ZINC13114384	308.28	C11H11F3N2O3S	CC(=O)[C@H]1[C@@H](NC(=O)N[C@]1(C(F)(F)F)O)c2cccs2	Proteasome I-lact-mg 132	0.94	0.03
ZINC13125630	278.31	C17H14N2O2	COc1ccc(cc1)c2ccnc(n2)c3ccc(cc3)O	ABC transporters	1.06	0.13
ZINC13135348	349.49	C15H15N3OS3	Cc1cccc(c1)n2c(=S)sc(n2)SCc3c(noc3C)C	GLN path	0.89	0.07
ZINC13137661	327.40	C19H22FN3O	C[C@H](C(=O)Nc1ccccc1F)N2CCN(CC2)c3ccccc3	ABC transporters	0.79	0.09
ZINC13170396	276.28	C15H15FNO3	c1cc(cc(c1)F)/C=C/C(=O)N2CCC[C@@H](C2)C(=O)[O-]	CYS path	1.03	0.28
ZINC13212469	289.38	C14H23N7	CCc1c(c(nc([nH+]1)N)N)c2ccc(c(c2)N)NCC[NH3+]	Cations channels	1.08	0.06
ZINC13283456	278.74	C13H15ClN4O	CCOCc1c(c(nc(n1)N)N)c2cccc(c2)Cl	Cations channels	0.96	0.07
ZINC13284722	303.55	C9H11Cl3NO4	[H]\N=C(/C(=C(\[O-])/OCC)/C(=O)OCC)\C(Cl)(Cl)Cl	Proteasome I-lact-mg 132	0.82	0.01
ZINC13284927	278.74	C13H15ClN4O	CCOCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl	Cations channels	0.94	0.08
ZINC13284972	313.18	C13H14Cl2N4O	CCOCc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl	Cations channels	0.88	0.05
ZINC13395297	299.37	C14H9N3OS2	c1ccc(cc1)c2c3c(c(=O)[nH]cn3)sc2SCC#N	E3 ligase	0.82	0.08
ZINC13439996	282.31	C17H16NO3	Cc1ccccc1CC(=O)Nc2ccc(cc2)CC(=O)[O-]	CYS path	0.91	0.04
ZINC13469949	316.37	C18H22NO4	CC(C)(C)c1ccc(c(c1)NC(=O)[C@H]2CC=CC[C@H]2C(=O)[O-])O	TRP path	1.01	0.08
ZINC13495675	190.30	C13H20N	c1ccc(cc1)C[C@H]2CCCC[C@@H]2[NH3+]	FASII-PDIM metabolism	1.15	0.12
ZINC13522232	335.35	C20H17NO4	Cc1ccc(cc1C)C(=O)COC(=O)c2cc(=O)[nH]c3c2cccc3	CD36	1.04	0.02
ZINC13556356	236.27	C14H12N4	c1ccc(cc1)c2nc([nH]n2)c3ccc(cc3)N	ABC transporters	1.01	0.11
ZINC13573701	265.26	C16H11NO3	c1ccc(cc1)C\2=NOC(=O)/C2=C\c3ccccc3O	Autophagy	1.00	0.09
ZINC13631900	277.79	C11H18ClN2O2S	C[NH+](C)CCNS(=O)(=O)Cc1cccc(c1)Cl	Cations channels	0.81	0.12
ZINC13635946	274.34	C13H14N4OS	c1cc(sc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.99	0.06
ZINC13647306	312.24	C11H17Cl2N2O2S	C[NH+](C)CCNS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.76	0.13
ZINC13689006	299.32	C16H17N3O3	c1ccc(cc1)C[C@@H](CO)NC(=O)C(=O)Nc2ccncc2	Proteasome I-lact-mg 132	0.84	0.06
ZINC13719676	341.45	C20H27N3O2	CC(C)CCNC(=O)[C@H]1CCCN(C1)C(=O)c2cc3ccccc3[nH]2	ATPase	0.99	0.11
ZINC13725782	287.38	C15H17N3OS	CN(Cc1cc(=O)[nH]c2c1cccc2)C(=S)NC3CC3	CD36	0.89	0.04
ZINC13725877	287.38	C15H17N3OS	CN(Cc1cc(=O)[nH]c2c1cccc2)C(=S)NCC=C	CD36	0.91	0.05
ZINC13727007	305.40	C15H19N3O2S	CN(Cc1cc(=O)[nH]c2c1cccc2)C(=S)NCCOC	CD36	0.90	0.08
ZINC13943902	285.30	C10H13N4O4S	CN(C)/N=N/c1ccc(cc1)S(=O)(=O)/N=C(\[O-])/OC	Cations channels	1.01	0.08
ZINC14291486	247.74	C10H14ClNO2S	CCCNS(=O)(=O)Cc1ccc(cc1)Cl	Cations channels	0.83	0.10
ZINC14559906	295.34	C17H17N3O2	c1cc(cc(c1)NC(=O)c2ccncc2)C(=O)N3CCCC3	GLN path	0.94	0.04
ZINC14953906	341.83	C17H23ClFN2O2	c1cc(c(c(c1)Cl)C[NH2+]C[C@@]2(CCCN(C2=O)CC3CC3)O)F	TRP path	1.02	0.09
ZINC15065999	331.34	C17H18FN3O3	Cc1c(c(on1)C)C(=O)N[C@H]2CC(=O)N(C2)Cc3cccc(c3)F	GLN path	0.89	0.04
ZINC15071801	345.43	C19H26FN4O	CCCn1c(c(cn1)C[NH2+][C@H]2CC(=O)N(C2)Cc3cccc(c3)F)C	GLN path	0.78	0.10
ZINC15162202	312.04	C8H10Cl4O2S	C1[C@@H](C1(Cl)Cl)CS(=O)(=O)C[C@@H]2CC2(Cl)Cl	CYS path	0.90	0.06
ZINC15303951	297.14	C13H10Cl2N2O2	c1cc(c(cc1Cl)Cl)CNC(=O)c2ccc(=O)[nH]c2	CD36	1.09	0.12
ZINC15306899	338.44	C21H26N2O2	CN(C(c1ccccc1)c2ccccc2)C(=O)C[NH+]3CCC(CC3)O	Autophagy	1.07	0.06
ZINC15306918	289.39	C17H25N2O2	C[C@@H]1Cc2ccccc2N1C(=O)[C@H](C)[NH+]3CCC(CC3)O	Autophagy	0.73	0.12
ZINC15306941	298.42	C15H24NO3S	Cc1ccc(c(c1)S(=O)(=O)CC[NH+]2CCC(CC2)O)C	Autophagy	0.87	0.13
ZINC15440761	176.25	C12H16O	Cc1ccc(cc1)[C@H]2CCC[C@@H]2O	FASII-PDIM metabolism	0.79	0.05
ZINC15613697	280.32	C17H16N2O2	Cc1ccccc1NC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.16	0.07
ZINC15613699	280.32	C17H16N2O2	c1ccc(cc1)CNC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.04	0.07
"ZINC1562944, "	283.33	C16H17N3O2	CCCCn1c2ccccc2cc-3c(=O)n(c(=O)nc13)C	E3 ligase	1.00	0.16
ZINC15642747	255.70	C12H14ClNO3	Cc1ccc(cc1NC(=O)[C@@H](C)OC(=O)C)Cl	TRP path	0.96	0.03
ZINC15774119	279.33	C14H21N3O3	CCC[C@H]([C@H](n1c2ccccc2nn1)O)[C@H](O)OCC	ATPase	0.96	0.01
ZINC15782434	213.23	C13H11NO2	Cc1ccc(cc1)[C@H]2n3cccc3C(=O)O2	Lip	0.99	0.08
ZINC15879105	313.39	C18H23N3O2	c1ccc(cc1)C2=NN(C(=O)CC2)CCC(=O)NC3CCCC3	HIS path	0.98	0.11
ZINC16024434	262.69	C13H11ClN2O2	c1cc(ccc1CNC(=O)c2ccc(=O)[nH]c2)Cl	CD36	0.87	0.03
ZINC16112885	344.34	C18H17FN2O4	CN(CCOc1ccccc1F)C(=O)c2ccc3c(c2)OCC(=O)N3	CD36	1.09	0.06
ZINC16448855	256.06	C8H6BrN3O2	c1cc2nc(c(c(=O)n2cc1Br)N)O	ATPase	1.13	0.29
ZINC16473860	341.42	C20H24FN3O	C[C@H](C(=O)N(C)c1ccccc1)N2CCN(CC2)c3ccccc3F	ABC transporters	0.76	0.09
ZINC16491727	306.38	C23H16N	c1ccc(cc1)[n+]2c3ccccc3cc4c2ccc5c4cccc5	E3 ligase	1.00	0.07
ZINC16545364	294.33	C16H10N2O2S	c1ccc2c(c1)nc(s2)/C(=C\c3ccc(cc3O)O)/C#N	ATPase	2.11	1.41
ZINC16577733	282.19	C10H13Cl2NO2S	CCCNS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.86	0.04
ZINC16578353	268.16	C9H11Cl2NO2S	CCNS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.86	0.05
ZINC16578472	268.16	C9H11Cl2NO2S	CN(C)S(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.86	0.08
ZINC16578857	296.21	C11H15Cl2NO2S	CCN(CC)S(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.81	0.08
ZINC16640296	260.26	C14H13FN2O2	c1cc(ccc1CCNC(=O)c2ccc(=O)[nH]c2)F	CD36	1.11	0.08
ZINC16649304	333.83	C14H20ClNO4S	CN([C@@H]1CCCC[C@@H]1O)S(=O)(=O)c2ccc(c(c2)Cl)OC	TRP path	1.06	0.16
ZINC16652469	311.44	C16H25NO3S	Cc1cc(c(c(c1)C)S(=O)(=O)N(C)[C@@H]2CCCC[C@@H]2O)C	TRP path	1.19	0.19
ZINC16678216	252.38	C13H20N2OS	CCCN(C[C@H](C)O)C(=S)Nc1ccccc1	Proteasome I-lact-mg 132	0.96	0.08
ZINC16736406	253.47	C8H3Cl3O3	c1c(c2c(c(c1Cl)Cl)C(=O)OCO2)Cl	AKT1	1.09	0.06
ZINC16891583	216.04	C9H5Cl2O2	c1cc(c(cc1Cl)Cl)/C=C\C(=O)[O-]	CYS path	0.78	0.06
ZINC16916510	268.33	C15H12N2OS	c1ccc(cc1)C2(C(=O)NC(=S)N2)c3ccccc3	Cations channels	0.89	0.26
ZINC16917769	241.33	C16H19NO	c1ccc2c(c1)[C@@]34CCCC[C@H]3CCC(=O)[C@H]4N2	Proteasome inducers	0.96	0.15
ZINC16930431	255.27	C14H13N3O2	Cc1ccc(c(c1)/N=C/c2ccccc2[N+](=O)[O-])N	Autophagy	1.58	0.11
ZINC16930459	275.69	C13H10ClN3O2	c1ccc(c(c1)/C=N/c2cc(ccc2N)Cl)[N+](=O)[O-]	Autophagy	1.52	0.13
ZINC16943069	258.27	C15H14O4	C[C@H]1[C@@H](C2=C([C@H](O1)C)C(=O)c3ccccc3C2=O)O	AKT1	1.07	0.26
ZINC16951570	272.34	C17H20O3	C[C@H]1[C@]23CC(=O)CC[C@H]2CCc4c3c(c(cc4)OC)O1	Proteasome inducers	0.92	0.08
ZINC16951840	314.34	C17H18N2O4	COc1ccc2c3c1O[C@@H]4[C@]35CCN([C@H](C2)[C@@H]5C=C[C@H]4O)N=O	Proteasome inducers	0.98	0.17
ZINC16952013	332.48	C21H32O3	C[C@]12CC[C@@H](C[C@@H]1CC[C@H]3[C@H]2CC[C@@]4([C@@H]3C[C@@H]5[C@H]4OC(=O)C5)C)O	ATPase	1.05	0.19
ZINC16952431	304.29	C16H16O6	C[C@H]1[C@@H](C2=C([C@H](O1)C)C(=O)c3c(cc(cc3O)OC)C2=O)O	AKT1	0.47	0.18
ZINC16968596	289.39	C20H21N2	Cc1cc(c(n1c2ccccc2)C)/C=C/c3cccc[n+]3C	GLN path	1.50	0.44
ZINC16969950	273.37	C17H23NO2	C[N+]1(CC[C@]23CCCC[C@@H]2[C@H]1Cc4c3cc(cc4)O)[O-]	Proteasome inducers	0.97	0.07
ZINC16990833	306.44	C19H30O3	C[C@]12CC[C@@H](C[C@@H]1[C@H](C[C@H]3[C@H]2CC[C@]4([C@H]3CCC4=O)C)O)O	Proteasome inducers	1.00	0.10
ZINC17021129	192.19	C9H10N3O2	CN(C)/N=N\c1cccc(c1)C(=O)[O-]	CYS path	1.08	0.01
ZINC17027349	327.29	C12H17N5O6	Cn1c2c(nc(n(c2=O)C)N)n(c1=O)[C@@H]3[C@H]([C@@H]([C@H](O3)CO)O)O	ATPase	0.95	0.17
ZINC17060316	307.56	C11H9Cl3N2O2	c1ccc2c(c1)c(=O)[nH]c(n2)C[C@@H](C(Cl)(Cl)Cl)O	TRP path	1.00	0.04
ZINC17145720	298.34	C16H18N4O2	COc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.97	0.11
ZINC17148901	334.37	C16H22N4O4	c1cc[nH+]c(c1)NC[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)Nc3cccc[nH+]3)O)O)O	Proteasome I-lact-mg 132	0.78	0.01
ZINC17159011	314.40	C19H24NO3	C[NH2+][C@@H]1Cc2ccc(c3c2[C@@]4([C@H]1CC=C([C@@H]4O3)OC)C=C)OC	Proteasome inducers	0.90	0.11
ZINC17198140	286.37	C14H10N2OS2	c1ccc-2c(c1)CCc3c2sc4c3c(=O)[nH]c(=S)[nH]4	E3 ligase	0.93	0.06
ZINC17209504	273.29	C14H15N3O3	Cc1ccc2c(c1)CC3(CN2C)C(=O)NC(=O)NC3=O	E3 ligase	0.88	0.04
ZINC17224323	209.24	C14H11NO	Cc1cc2cc3ccccc3cc2c(=O)[nH]1	E3 ligase	0.98	0.11
ZINC17256022	242.23	C13H10N2O3	c1ccc(c(c1)/C=N/c2ccccc2[N+](=O)[O-])O	TRP path	0.99	0.10
ZINC17256799	319.27	C18H9NO5	c1cc2c-3c(c1)c(=O)oc3c/c(=C\c4ccc(cc4)[N+](=O)[O-])/c2=O	HIS path	1.06	0.12
ZINC17307469	310.35	C18H18N2O3	CCOc1ccc(cc1)C(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.92	0.08
ZINC17315857	310.35	C18H18N2O3	CCOc1ccccc1C(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.94	0.11
ZINC17315872	290.31	C19H14O3	c1ccc(cc1)/C=C\[C@H](C2=CC(=O)c3ccccc3C2=O)O	TRP path	0.86	0.01
ZINC17316716	236.27	C15H12N2O	c1ccc(cc1)Nc2cc(=O)[nH]c3c2cccc3	CD36	1.15	0.13
ZINC17324694	228.29	C14H16N2O	c1ccc(cc1)[C@@]23CCCCC2=NNC(=O)C3	Proteasome inducers	0.98	0.04
ZINC17352663	342.41	C20H24NO4	CC(=O)O[C@H]1C=C[C@H]2[C@@]34[C@H]1[C@@H](Cc5c3c(c(cc5)OC)O2)[NH+](CC4)C	Proteasome inducers	0.60	0.19
ZINC17824005	311.31	C17H15N2O4	COc1ccc(cc1OC)c2c[nH]nc2c3ccc(cc3O)O	ATPase	1.18	0.18
ZINC17919572	278.29	C16H12N3O2	c1ccc(cc1)Oc2ccc(cc2)/N=C\c3c[nH]nc3O	GLN path	1.14	0.13
ZINC18046806	331.39	C15H11N2O3S2	Cc1ccc(cc1)[C@H]2c3c([nH]c(=O)s3)S[C@H]4[C@@H]2C(=NC4=O)[O-]	E3 ligase	1.01	0.04
ZINC18060909	284.29	C15H14N3O3	c1ccc2c(c1)CC3([C@@H]4N2CCC4)C(=O)NC(=O)NC3=O	E3 ligase	0.89	0.06
ZINC18066566	282.34	C16H18N4O	Cc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.98	0.09
ZINC18126402	282.29	C16H14N2O3	COc1ccc(cc1)c2c[nH]nc2c3ccc(cc3O)O	ATPase	1.38	0.18
ZINC18126759	287.38	C15H17N3OS	CC(=C)Cn1c(=O)c2cc3c(nc2[nH]c1=S)CCCC3	E3 ligase	0.88	0.06
ZINC18148554	284.31	C15H16N4O2	COc1cccc(c1)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.99	0.06
ZINC18148632	269.30	C14H15N5O	c1cc(cnc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.08	0.05
ZINC18148698	310.35	C17H18N4O2	C=CCc1cccc(c1O)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.95	0.24
ZINC18182025	263.32	C12H13N3O2S	CC1(Cc2c(cc3c(n2)[nH]c(=S)[nH]c3=O)CO1)C	E3 ligase	0.98	0.03
ZINC18188334	323.37	C17H13N3O2S	Cc1c(ccc(c1O)c2c(c[nH]n2)c3nc4ccccc4s3)O	ATPase	1.89	0.23
ZINC18191055	310.35	C17H18N4O2	CC1(CC2=C([C@@H](n3c(ncn3)N2)c4cccc(c4)O)C(=O)C1)C	Proteasome inducers	0.87	0.05
ZINC18199487	329.37	C16H15N3O3S	Cc1ccsc1[C@H]2c3c([nH]c(=O)[nH]c3=O)NC4=C2C(=O)CCC4	E3 ligase	0.89	0.03
ZINC18219412	299.32	C16H16FN4O	C[C@@H]1CC2=C([C@H](n3c(ncn3)N2)c4ccc(cc4)F)C(=O)C1	E3 ligase	0.80	0.07
ZINC18324877	312.37	C17H20N4O2	CCOc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.18	0.12
ZINC18847046	197.26	C13H13N2	Cc1c2c(cc[nH+]1)c3ccc(cc3[nH]2)OC	AKT1	1.04	0.15
ZINC19088942	193.63	C10H8ClNO	Cc1c2cccc(c2[nH]c1C=O)Cl	CD36	0.87	0.08
ZINC19094215	222.22	C11H12NO4	CCOC(=O)CNc1ccccc1C(=O)[O-]	TRP path	0.82	0.14
ZINC19118134	315.34	C17H18FN3O2	Cc1cc(nc(n1)[C@H]2CCCN2C(=O)Cc3cccc(c3)F)O	ATPase	1.03	0.13
ZINC19275542	229.27	C14H15NO2	COc1ccccc1OCc2ccccc2N	Autophagy	1.40	0.07
ZINC19364225	148.25	C6H20N4	C(CNCCNCC[NH3+])[NH3+]	Porins	0.94	0.05
ZINC19366504	161.29	C8H23N3	C[NH+](C)CCNCC[NH+](C)C	Porins	1.03	0.04
ZINC19388912	268.29	C16H14NO3	c1ccc(cc1)CC(=O)Nc2ccc(cc2)CC(=O)[O-]	CYS path	0.96	0.04
ZINC19419604	259.30	C14H17N3O2	c1ccc(cc1)[C@]2(C(=NC(=O)N2)[O-])[NH+]3CCCCC3	Cations channels	0.99	0.04
ZINC19535208	324.42	C20H24N2O2	COC(=O)CN1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	0.84	0.08
ZINC19594398	267.28	C15H13N3O2	CC1=C(C(C(=C(N1)C)C#N)c2ccc(c(c2)O)O)C#N	Proteasome inducers	1.02	0.03
ZINC19597031	330.44	C18H22N2O2S	CS(=O)(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	0.83	0.06
ZINC19597033	344.47	C19H24N2O2S	CCS(=O)(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.02	0.03
ZINC19637456	243.43	C14H33N3	CC[NH+](CC)CCN(CC)C1CC[NH+](CC1)C	Porins	0.80	0.12
ZINC19701792	247.31	C14H19N2O2	COCCC[NH2+]Cc1cc(=O)[nH]c2c1cccc2	CD36	0.87	0.10
ZINC19702027	265.33	C17H17N2O	c1ccc(cc1)C[NH2+]Cc2cc(=O)[nH]c3c2cccc3	CD36	0.89	0.11
ZINC19726474	209.65	C11H10ClO2	c1cc(ccc1[C@@H](C2CC2)C(=O)[O-])Cl	CYS path	0.99	0.08
ZINC19792324	324.42	C20H24N2O2	C[C@H](C(=O)N1CCN(CC1)Cc2ccccc2)Oc3ccccc3	ABC transporters	1.07	0.05
ZINC19793781	268.31	C11H14N3O3S	COc1ccc(c(c1)OC)NC(=O)C2=CNSN2	TRP path	0.98	0.11
ZINC19793833	260.70	C9H8ClFN3OS	c1cc(c(cc1NC(=O)C2=CNSN2)Cl)F	TRP path	1.06	0.11
ZINC19801713	253.36	C16H15NS	c1ccc2c(c1)C[C@@H]3CNCc4c3c(ccc4)S2	Proteasome inducers	1.05	0.12
ZINC19816655	288.37	C15H22N5O	Cc1c2c(n[nH]1)OC(=C([C@]23C[C@H]([NH+](C[C@H]3C)C)C)C#N)N	Proteasome inducers	0.90	0.06
ZINC19823301	294.39	C19H22N2O	CC(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	0.96	0.06
ZINC19837230	207.27	C12H17NO2	Cc1ccc(c(c1)C(=O)NCC(C)C)O	Autophagy	1.03	0.09
ZINC19862693	323.43	C20H25N3O	CN(C)C(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.07	0.13
ZINC20031356	259.67	C13H8ClN2O2	Cc1cc(n(c(=O)c1C#N)c2ccccc2Cl)[O-]	Proteasome I-lact-mg 132	0.93	0.13
ZINC20054269	201.35	C11H27N3	CC[NH+]1CCC[C@H]1CNCC[NH+](C)C	Porins	0.81	0.09
ZINC20168500	342.41	C20H23FN2O2	C[C@H](C(=O)N1CCN(CC1)Cc2ccccc2)Oc3ccccc3F	ABC transporters	1.13	0.12
ZINC20220558	310.39	C19H22N2O2	COC(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.39	0.05
ZINC20265141	234.38	C15H26N2	c1cc(ccc1C[NH3+])C[NH+]2CCCCCCC2	Porins	0.80	0.07
ZINC20446024	290.18	C10H7F3N3O4	c1cc(c(cc1[N+](=O)[O-])C2=NN[C@](C2)(C(F)(F)F)O)[O-]	TRP path	0.02	0.01
ZINC20457666	321.71	C15H11ClFN2O3	c1cc(ccc1CC(=O)[O-])NC(=O)Nc2ccc(cc2F)Cl	CYS path	1.00	0.13
ZINC20639327	409.56	C25H35N3O2	c1ccc(cc1)CN2CCN(CC2)C(=O)CNC(=O)CC34CC5CC(C3)CC(C5)C4	adamantane scaffold	0.98	0.16
ZINC20722689	300.40	C16H24N6	Cn1c2c(cn1)c(nc(n2)N3CCCCCC3)N4CCCC4	Calcineurin1	1.08	0.05
ZINC20727282	329.37	C16H15N3O3S	c1ccc(cc1)C[C@@H](CO)NC(=O)c2nc(no2)c3cccs3	Proteasome I-lact-mg 132	1.19	0.28
ZINC20738939	338.36	C19H18N2O4	c1ccc(cc1)Cc2c3ccc(cc3on2)OC(=O)N4CCOCC4	GLN path	0.87	0.03
ZINC20855643	234.69	C11H11ClN4	c1cnc(c2c1nc(nc2)N3CCCC3)Cl	Calcineurin1	0.95	0.13
ZINC20865587	345.46	C18H23N3O2S	c1cc2c(cc1C(=O)N3CCCCCC3)sc(n2)N4CCOCC4	GLN path	1.01	0.06
ZINC20865618	331.43	C17H21N3O2S	c1cc2c(cc1C(=O)N3CCCCC3)sc(n2)N4CCOCC4	GLN path	0.98	0.04
ZINC20941386	339.45	C21H27N2O2	CN(C(c1ccccc1)c2ccccc2)C(=O)C[NH+]3CCC[C@@H](C3)O	Autophagy	1.12	0.07
ZINC21216205	319.33	C14H12FN4O2S	Cc1ccc(cc1F)N2C[C@@H](CC2=O)C(=O)Nc3nncs3	GLN path	0.85	0.09
ZINC21298412	205.06	C6H2Cl2N2S	c1csc2c1c(nc(n2)Cl)Cl	AKT1	1.02	0.07
ZINC21595884	307.30	C17H13N3O3	Cc1ccc2c(n1)cccc2NC(=O)c3cccc(c3)[N+](=O)[O-]	HIS path	0.97	0.12
ZINC21627879	328.39	C17H16N2O3S	c1ccc2c(c1)n(c(=O)o2)CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.82	0.08
ZINC21695672	312.34	C18H17FN2O2	CC(=O)Nc1cccc(c1)NC(=O)C2(CC2)c3ccc(cc3)F	HIS path	0.99	0.07
ZINC21822271	324.44	C20H26N3O	C[C@H](C(=O)Nc1ccccc1)N2CC[NH+](CC2)Cc3ccccc3	ABC transporters	0.76	0.12
ZINC21889348	312.32	C17H16N2O4	CCOc1ccccc1NC(=O)c2ccc3c(c2)OCC(=O)N3	CD36	1.02	0.01
ZINC22035501	133.24	C6H19N3	C[NH2+]CCNCC[NH2+]C	Porins	0.98	0.03
ZINC22057034	199.04	C8H4Cl2N2	c1cc(nc2c1ccc(n2)Cl)Cl	AKT1	1.12	0.04
ZINC22204687	260.31	C13H12N2O2S	c1cc(cc(c1)O)/C=c\2/c(=O)n3c(=NCCC3)s2	Autophagy	0.79	0.02
ZINC22285501	310.41	C18H18N2OS	c1ccc2c(c1)ccn2CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.80	0.12
ZINC22333955	324.42	C20H24N2O2	COCC(=O)N1CCN(CC1)C(c2ccccc2)c3ccccc3	ABC transporters	1.03	0.04
ZINC22339830	229.32	C15H19NO	c1ccc(cc1)[C@@]23CCCC[C@H]2NC(=O)CC3	Proteasome inducers	0.89	0.11
ZINC22384970	349.43	C21H23N3O2	C[C@H](C(=O)N1CCN(CC1)Cc2ccccc2)Oc3ccccc3C#N	ABC transporters	1.09	0.08
ZINC22385002	330.40	C17H18N2O3S	c1ccc2c(c1)OC[C@H](O2)CNC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.22	0.06
ZINC22506998	311.34	C17H17N3O3	COc1ccccc1NC(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	1.17	0.10
